Brand,Number Of Reviews
Anastasia Beverly Hills,77497
bareMinerals,66063
Benefit Cosmetics,87237
CLINIQUE,85435
KVD Vegan Beauty,86103
NARS,68949
SEPHORA COLLECTION,121095
tarte,80230
Too Faced,88405
Urban Decay,87273
